# Stardew Valley Overture
# Beat 3/4
90 -1

0 3 8
4 3 8
7 3 12
7 3 4
0 4 12
0 4 4

0 3 8
5 3 8
9 3 12
9 3 4
0 4 12
0 4 4

0 3 8
4 3 8
7 3 12
7 3 4
0 4 12
0 4 4
4 4 48

0 3 8
4 3 8
7 3 12
7 3 4
0 4 12
0 4 4

0 3 8
5 3 8
9 3 12
9 3 4
0 4 12
0 4 4

0 3 8
4 3 8
7 3 12
7 3 4
0 4 12
0 4 4
0 3 48

#
4 4 32
7 4 16
5 4 16
4 4 16
5 4 16
7 4 32
4 4 16
0 4 48
4 4 32
7 4 16
5 4 16
9 4 16
7 4 16
2 4 96

4 4 32
7 4 16
5 4 16
4 4 16
5 4 16
7 4 32
4 4 16
0 4 40
2 4 8
4 4 16
2 4 16
0 4 16
9 3 32
7 3 16
0 4 96

4 4 32
7 4 16
5 4 16
4 4 16
5 4 16
7 4 32
4 4 16
0 4 48
4 4 32
7 4 16
5 4 16
9 4 16
7 4 16
2 4 96

4 4 32
7 4 16
5 4 16
4 4 16
5 4 16
7 4 32
0 4 16
9 4 16
7 4 16
5 4 16
4 4 16
2 4 16
0 4 16
9 3 32
7 3 16
0 4 96

#
0 5 40
11 4 8
9 4 32
5 4 16
7 4 40
4 4 8
2 4 32
0 4 8
2 4 8
4 4 32
9 3 16
5 4 16
4 4 16
5 4 16
7 4 96

0 5 40
11 4 8
9 4 32
5 4 16
7 4 40
9 4 8
11 4 32
7 4 16
0 5 40
2 5 8
11 4 32
7 4 16
9 4 96

#
7 6 4
4 6 4
2 6 4
0 6 4
7 6 4
4 6 4
2 6 4
0 6 4
7 6 4
4 6 4
2 6 4
0 6 4
4 6 4
2 6 4
0 6 4
7 5 4
4 6 4
2 6 4
0 6 4
7 5 4
4 6 4
2 6 4
0 6 4
7 5 4
0 6 4
11 5 4
9 5 4
4 5 4
0 6 4
11 5 4
9 5 4
4 5 4
0 6 4
11 5 4
9 5 4
4 5 4
9 5 4 
7 5 4
5 5 4
0 5 4
9 5 4 
7 5 4
5 5 4
0 5 4
9 5 4 
7 5 4
5 5 4
0 5 4

7 6 4
4 6 4
2 6 4
0 6 4
7 6 4
4 6 4
2 6 4
0 6 4
7 6 4
4 6 4
2 6 4
0 6 4
4 6 4
2 6 4
0 6 4
7 5 4
4 6 4
2 6 4
0 6 4
7 5 4
4 6 4
2 6 4
0 6 4
7 5 4
0 6 4
11 5 4
9 5 4
4 5 4
0 6 4
11 5 4
9 5 4
4 5 4
0 6 4
11 5 4
9 5 4
4 5 4
9 5 4 
7 5 4
5 5 4
0 5 4
9 5 4 
7 5 4
5 5 4
0 5 4
9 5 4 
7 5 4
5 5 4
0 5 4

0 6 4
9 5 4
7 5 4
4 5 4
0 6 4
9 5 4
7 5 4
4 5 4
0 6 4
9 5 4
7 5 4
4 5 4
0 6 4
9 5 4
7 5 4
0 5 4
0 6 4
9 5 4
7 5 4
0 5 4
0 6 4
9 5 4
7 5 4
0 5 4
0 6 4
7 5 4
4 5 4
0 5 4
0 6 4
7 5 4
4 5 4
0 5 4
0 6 4
7 5 4
4 5 4
0 5 4
0 6 4
7 5 4
4 5 4
0 5 4
0 6 4
7 5 4
4 5 4
0 5 4
0 6 4
7 5 4
4 5 4
0 5 4

0 6 4
9 5 4
7 5 4
4 5 4
0 6 4
9 5 4
7 5 4
4 5 4
0 6 4
9 5 4
7 5 4
4 5 4
0 6 4
9 5 4
7 5 4
0 5 4
0 6 4
9 5 4
7 5 4
0 5 4
0 6 4
9 5 4
7 5 4
0 5 4
0 6 4
7 5 4
4 5 4
0 6 4
0 6 4
7 5 4
4 5 4
0 6 4
0 6 4
7 5 4
4 5 4
0 6 4
0 6 4
7 5 4
4 5 4
0 6 4
0 6 4
7 5 4
4 5 4
0 6 4
0 6 4
7 5 4
4 5 4
0 6 4
